sep=;
"pers_id";"id_ch_parliament";"wikidata_id";"last_name";"first_name"
"CH_Buehler_Rene_1905";1695;"";"Buehler";"Rene"
"CH_Buehler_Robert_1902";1696;"";"Buehler";"Robert-Eduard"
"CH_Buehler_Rolf_1903";1697;"";"Buehler";"Rolf-Theodor"
"CH_Buehler_Simeon_1942";32;"";"Buehler";"Simeon"
"CH_Buehlmann_Cecile_1949";33;"";"Buehlmann";"Cecile"
"CH_Buehrer_Gerold_1948";34;"";"Buehrer";"Gerold"
"CH_Buerer_Kurt_1925";558;"";"Buerer";"Kurt"
"CH_Buergi_Jakob_1934";36;"";"Buergi";"Jakob"
"CH_Buergi_Paul_1921";624;"";"Buergi";"Paul"
"CH_Buerki_Ernst_1882";1716;"";"Buerki";"Ernst"
"CH_Buettiker_Rolf_1950";37;"";"Buettiker";"Rolf"
"CH_Buffat_Michael_1979";4156;"";"Buffat";"Michael"
"CH_Bugnon_Andre_1947";453;"";"Bugnon";"Andre"
"CH_Bugnon_Fabienne_1959";265;"";"Bugnon";"Fabienne"
"CH_Bulliard_Christine_1959";4101;"";"Bulliard-Marbach";"Christine"
"CH_Bundi_Martin_1932";35;"";"Bundi";"Martin"
"CH_Burckhardt_Martin_1921";726;"";"Burckhardt";"Martin"
"CH_Burgdorfer_Paul_1903";1707;"";"Burgdorfer";"Paul"
"CH_Burgener_Thomas_1954";397;"";"Burgener";"Thomas"
"CH_Burgherr_Thomas_1962";4158;"";"Burgherr";"Thomas"
"CH_Buri_Dewet_1901";1712;"";"Buri";"Dewet"
"CH_Burkart_Thierry_1975";4189;"";"Burkart";"Thierry"
"CH_Burkhalter_Didier_1960";1116;"";"Burkhalter";"Didier"
"CH_Burren_Hans_1915";1724;"";"Burren";"Hans"
"CH_Burri_Ignaz_1872";1725;"";"Burri";"Ignaz"
"CH_Burrus_Henry_1882";1726;"";"Burrus";"Henry"
"CH_Bussey_Alfred_1915";1729;"";"Bussey";"Alfred"
"CH_Bustelli_Guido_1905";1731;"";"Bustelli";"Guido-di-Edoardo"
"CH_Buttet_Yannick_1977";4086;"";"Buttet";"Yannick"
"CH_Butty_Laurent_1925";559;"";"Butty";"Laurent"
"CH_Caccia_Fulvio_1942";38;"";"Caccia";"Fulvio"
"CH_Cadruvi_Donat_1923";1734;"";"Cadruvi";"Donat"
"CH_Calame_Andre_1898";1738;"";"Calame";"Andre"
"CH_Camenzind_Margrit_1939";560;"";"Camenzind";"Margrit"
"CH_Campell_Duri_1963";4200;"";"Campell";"Duri"
"CH_Camponovo_Geo_1937";248;"";"Camponovo";"Geo"
"CH_Candaux_Pierre_1922";561;"";"Candaux";"Pierre-David"
"CH_Candinas_Martin_1980";4070;"";"Candinas";"Martin"
"CH_Canonica_Ezio_1922";1747;"";"Canonica";"Ezio"
"CH_Cantieni_Toni_1928";562;"";"Cantieni";"Toni"
"CH_Carnat_Germain_1894";;"";"Carnat";"Germain-Joseph"
"CH_Carobbio_Marina_1966";3830;"";"Carobbio-Guscetti";"Marina"
"CH_Carobbio_Werner_1936";39;"";"Carobbio";"Werner"
"CH_Caroni_Andrea_1980";4075;"";"Caroni";"Andrea"
"CH_Caroni_Arrigo_1903";1753;"";"Caroni";"Arrigo"
"CH_Carron_Henri_1886";1754;"";"Carron";"Henri"
"CH_Carruzzo_Felix_1925";1181;"";"Carruzzo";"Felix"
"CH_Caspar_Elisabeth_1949";40;"";"Caspar-Hutter";"Elisabeth"
"CH_Cassis_Ignazio_1961";3828;"";"Cassis";"Ignazio"
"CH_Cathomas_Sep_1945";1143;"";"Cathomas";"Sep"
"CH_Cattaneo_Rocco_1958";4217;"";"Cattaneo";"Rocco"
"CH_Cavadini_Adriano_1942";42;"";"Cavadini";"Adriano"
"CH_Cavadini_Jean_1936";41;"";"Cavadini";"Jean"
"CH_Cavalli_Franco_1942";309;"";"Cavalli";"Franco"
"CH_Cavelty_Luregn_1935";43;"";"Cavelty";"Luregn-Mathias"
"CH_Caviezel_Tarzisius_1954";3873;"";"Caviezel";"Tarzisius"
"CH_Celio_Nello_1914";1763;"";"Celio";"Nello"
"CH_Cevey_Jean_1928";727;"";"Cevey";"Jean-Jacques"
"CH_Chamorel_Jacques_1901";1771;"";"Chamorel";"Jacques"
"CH_Chappuis_Liliane_1955";454;"";"Chappuis";"Liliane"
"CH_Chassot_Charles_1885";1781;"";"Chassot";"Charles"
"CH_Chaudet_Paul_1904";1783;"";"Chaudet";"Paul"
"CH_Chavanne_Andre_1916";1786;"";"Chavanne";"Andre"
