sep=;
"mismatch_type";"expected_parliament_ids";"days_start_vs_period";"days_end_vs_period";"res_entry_id";"pers_id";"res_entry_start";"res_entry_end";"parliament_id"
"starts_before_period,ends_after_period";"CA_NT-HC_1905";-69;38;"CA_Alcorn_George_1850__02";"CA_Alcorn_George_1850";"03nov1904";"25oct1908";"CA_NT-HC_1905"
"starts_before_period,ends_after_period";"CA_NT-HC_2015";-45;39;"CA_Aldag_John_1963__01";"CA_Aldag_John_1963";"19oct2015";"20oct2019";"CA_NT-HC_2015"
"starts_before_period";"CA_NT-HC_2021";-63;-296;"CA_Aldag_John_1963__02";"CA_Aldag_John_1963";"20sep2021";"31may2024";"CA_NT-HC_2021"
"starts_before_period,ends_after_period";"CA_NT-HC_2011";-31;77;"CA_Alexander_Chris_1968__01";"CA_Alexander_Chris_1968";"02may2011";"18oct2015";"CA_NT-HC_2011"
"starts_before_period";"CA_NT-HC_1968;CA_NT-HC_1973;CA_NT-HC_1974;CA_NT-HC_1979;CA_NT-HC_1980";-79;-1503;"CA_Alexander_Lincoln_1922__01";"CA_Alexander_Lincoln_1922";"25jun1968";"28may1980";"CA_NT-HC_1968;CA_NT-HC_1973;CA_NT-HC_1974;CA_NT-HC_1979;CA_NT-HC_1980"
"starts_before_period,ends_after_period";"CA_NT-HC_2006";-70;36;"CA_Alghabra_Omar_1969__01";"CA_Alghabra_Omar_1969";"23jan2006";"13oct2008";"CA_NT-HC_2006"
"starts_before_period,ends_after_period";"CA_NT-HC_2015;CA_NT-HC_2019;CA_NT-HC_2021";-45;35;"CA_Alghabra_Omar_1969__02";"CA_Alghabra_Omar_1969";"19oct2015";"27apr2025";"CA_NT-HC_2015;CA_NT-HC_2019;CA_NT-HC_2021"
"starts_before_period,ends_after_period";"CA_NT-HC_1911";-55;71;"CA_Alguire_Duncan_1853__01";"CA_Alguire_Duncan_1853";"21sep1911";"16dec1917";"CA_NT-HC_1911"
"starts_before_period,ends_after_period";"CA_NT-HC_2021";-63;35;"CA_Ali_Shafqat_9999__01";"CA_Ali_Shafqat_9999";"20sep2021";"27apr2025";"CA_NT-HC_2021"
"starts_before_period";"CA_NT-HC_2025";-28;-268;"CA_Ali_Shafqat_9999__02";"CA_Ali_Shafqat_9999";"28apr2025";"07apr2026";"CA_NT-HC_2025"
"starts_before_period,ends_after_period";"CA_NT-HC_1962;CA_NT-HC_1963;CA_NT-HC_1966";-101;62;"CA_Alkenbrack_Almonte_1912__01";"CA_Alkenbrack_Almonte_1912";"18jun1962";"24jun1968";"CA_NT-HC_1962;CA_NT-HC_1963;CA_NT-HC_1966"
"starts_before_period,ends_after_period";"CA_NT-HC_1968;CA_NT-HC_1973;CA_NT-HC_1974";-79;56;"CA_Alkenbrack_Almonte_1912__02";"CA_Alkenbrack_Almonte_1912";"25jun1968";"21may1979";"CA_NT-HC_1968;CA_NT-HC_1973;CA_NT-HC_1974"
"starts_before_period,ends_after_period";"CA_NT-HC_1918";-91;62;"CA_Allan_George_1860__01";"CA_Allan_George_1860";"17dec1917";"05dec1921";"CA_NT-HC_1918"
"starts_before_period,ends_after_period";"CA_NT-HC_1891";-55;59;"CA_Allan_Henry_1843__01";"CA_Allan_Henry_1843";"05mar1891";"22jun1896";"CA_NT-HC_1891"
"starts_before_period,ends_after_period";"CA_NT-HC_1926dec";-86;58;"CA_Allan_Hugh_1865__01";"CA_Allan_Hugh_1865";"14sep1926";"27jul1930";"CA_NT-HC_1926dec"
"ends_after_period";"CA_NT-HC_1909";374;53;"CA_Allard_Albert_1860__01";"CA_Allard_Albert_1860";"29jan1910";"20sep1911";"CA_NT-HC_1909"
"starts_before_period,ends_after_period";"CA_NT-HC_2001";-63;35;"CA_Allard_Carole_1949__01";"CA_Allard_Carole_1949";"27nov2000";"27jun2004";"CA_NT-HC_2001"
"starts_before_period,ends_after_period";"CA_NT-HC_1973;CA_NT-HC_1974;CA_NT-HC_1979";-66;65;"CA_Allard_Eudore_1915__01";"CA_Allard_Eudore_1915";"30oct1972";"17feb1980";"CA_NT-HC_1973;CA_NT-HC_1974;CA_NT-HC_1979"
"starts_before_period,ends_after_period";"CA_NT-HC_1958";-42;59;"CA_Allard_Maurice_1922__01";"CA_Allard_Maurice_1922";"31mar1958";"17jun1962";"CA_NT-HC_1958"
"starts_before_period";"CA_NT-HC_1966";-71;-48;"CA_Allard_Maurice_1922__02";"CA_Allard_Maurice_1922";"08nov1965";"06mar1968";"CA_NT-HC_1966"
"starts_before_period,ends_after_period";"CA_NT-HC_1883";-233;37;"CA_Allen_Benjamin_1830__01";"CA_Allen_Benjamin_1830";"20jun1882";"21feb1887";"CA_NT-HC_1883"
"starts_before_period,ends_after_period";"CA_NT-HC_1909";-86;53;"CA_Allen_Henry_1864__01";"CA_Allen_Henry_1864";"26oct1908";"20sep1911";"CA_NT-HC_1909"
"starts_before_period,ends_after_period";"CA_NT-HC_2008;CA_NT-HC_2011";-35;77;"CA_Allen_Malcolm_1953__01";"CA_Allen_Malcolm_1953";"14oct2008";"18oct2015";"CA_NT-HC_2008;CA_NT-HC_2011"
"starts_before_period,ends_after_period";"CA_NT-HC_2006;CA_NT-HC_2008;CA_NT-HC_2011";-70;77;"CA_Allen_Mike_1960__01";"CA_Allen_Mike_1960";"23jan2006";"18oct2015";"CA_NT-HC_2006;CA_NT-HC_2008;CA_NT-HC_2011"
"starts_before_period";"CA_NT-HC_2015";-45;-360;"CA_Alleslev_Leona_1968__01";"CA_Alleslev_Leona_1968";"19oct2015";"16sep2018";"CA_NT-HC_2015"
"ends_after_period";"CA_NT-HC_2015;CA_NT-HC_2019";1019;35;"CA_Alleslev_Leona_1968__02";"CA_Alleslev_Leona_1968";"17sep2018";"19sep2021";"CA_NT-HC_2015;CA_NT-HC_2019"
"starts_before_period";"CA_NT-HC_1891";-55;-1542;"CA_Allison_David_1826__02";"CA_Allison_David_1826";"05mar1891";"03feb1892";"CA_NT-HC_1891"
"starts_before_period,ends_after_period";"CA_NT-HC_2004;CA_NT-HC_2006;CA_NT-HC_2008;CA_NT-HC_2011";-98;77;"CA_Allison_Dean_9999__01";"CA_Allison_Dean_9999";"28jun2004";"18oct2015";"CA_NT-HC_2004;CA_NT-HC_2006;CA_NT-HC_2008;CA_NT-HC_2011"
"starts_before_period";"CA_NT-HC_2015;CA_NT-HC_2019;CA_NT-HC_2021;CA_NT-HC_2025";-45;-268;"CA_Allison_Dean_9999__02";"CA_Allison_Dean_9999";"19oct2015";"07apr2026";"CA_NT-HC_2015;CA_NT-HC_2019;CA_NT-HC_2021;CA_NT-HC_2025"
"starts_before_period,ends_after_period";"CA_NT-HC_1879;CA_NT-HC_1883";-149;37;"CA_Allison_William_1838__01";"CA_Allison_William_1838";"17sep1878";"21feb1887";"CA_NT-HC_1879;CA_NT-HC_1883"
"starts_before_period,ends_after_period";"CA_NT-HC_1966;CA_NT-HC_1968;CA_NT-HC_1973;CA_NT-HC_1974;CA_NT-HC_1979;CA_NT-HC_1980";-71;56;"CA_Allmand_William_1932__01";"CA_Allmand_William_1932";"08nov1965";"03sep1984";"CA_NT-HC_1966;CA_NT-HC_1968;CA_NT-HC_1973;CA_NT-HC_1974;CA_NT-HC_1979;CA_NT-HC_1980"
"starts_before_period,ends_after_period";"CA_NT-HC_1984";-62;50;"CA_Allmand_William_1932__02";"CA_Allmand_William_1932";"04sep1984";"20nov1988";"CA_NT-HC_1984"
"starts_before_period";"CA_NT-HC_1988;CA_NT-HC_1994";-21;-62;"CA_Allmand_William_1932__03";"CA_Allmand_William_1932";"21nov1988";"24feb1997";"CA_NT-HC_1988;CA_NT-HC_1994"
"starts_before_period,ends_after_period";"CA_NT-HC_1958";-42;59;"CA_Allmark_Benjamin_1911__01";"CA_Allmark_Benjamin_1911";"31mar1958";"17jun1962";"CA_NT-HC_1958"
"starts_before_period,ends_after_period";"CA_NT-HC_1873";-144;19;"CA_Almon_William_1816__01";"CA_Almon_William_1816";"12oct1872";"21jan1874";"CA_NT-HC_1873"
"starts_before_period,ends_after_period";"CA_NT-HC_1980;CA_NT-HC_1984";-56;50;"CA_Althouse_Victor_1937__01";"CA_Althouse_Victor_1937";"18feb1980";"20nov1988";"CA_NT-HC_1980;CA_NT-HC_1984"
"starts_before_period,ends_after_period";"CA_NT-HC_1988;CA_NT-HC_1994";-21;35;"CA_Althouse_Victor_1937__02";"CA_Althouse_Victor_1937";"21nov1988";"01jun1997";"CA_NT-HC_1988;CA_NT-HC_1994"
"starts_before_period";"CA_NT-HC_2025";-28;-268;"CA_Alty_Rebecca_9999__01";"CA_Alty_Rebecca_9999";"28apr2025";"07apr2026";"CA_NT-HC_2025"
"starts_before_period,ends_after_period";"CA_NT-HC_2004;CA_NT-HC_2006";-98;36;"CA_Amand_Lloyd_1952__01";"CA_Amand_Lloyd_1952";"28jun2004";"13oct2008";"CA_NT-HC_2004;CA_NT-HC_2006"
"starts_before_period,ends_after_period";"CA_NT-HC_2011";-31;77;"CA_Ambler_Stella_1966__01";"CA_Ambler_Stella_1966";"02may2011";"18oct2015";"CA_NT-HC_2011"
"starts_before_period,ends_after_period";"CA_NT-HC_2004;CA_NT-HC_2006;CA_NT-HC_2008;CA_NT-HC_2011";-98;77;"CA_Ambrose_Rona_1969__01";"CA_Ambrose_Rona_1969";"28jun2004";"18oct2015";"CA_NT-HC_2004;CA_NT-HC_2006;CA_NT-HC_2008;CA_NT-HC_2011"
"starts_before_period";"CA_NT-HC_2015";-45;-799;"CA_Ambrose_Rona_1969__02";"CA_Ambrose_Rona_1969";"19oct2015";"04jul2017";"CA_NT-HC_2015"
"starts_before_period,ends_after_period";"CA_NT-HC_1905;CA_NT-HC_1909;CA_NT-HC_1911";-69;71;"CA_Ames_Herbert_1863__01";"CA_Ames_Herbert_1863";"03nov1904";"16dec1917";"CA_NT-HC_1905;CA_NT-HC_1909;CA_NT-HC_1911"
"starts_before_period";"CA_NT-HC_1918";-91;-232;"CA_Ames_Herbert_1863__02";"CA_Ames_Herbert_1863";"17dec1917";"14feb1921";"CA_NT-HC_1918"
"starts_before_period,ends_after_period";"CA_NT-HC_2015;CA_NT-HC_2019";-45;35;"CA_Amos_William_1974__01";"CA_Amos_William_1974";"19oct2015";"19sep2021";"CA_NT-HC_2015;CA_NT-HC_2019"
"ends_after_period";"CA_NT-HC_1879;CA_NT-HC_1883";765;37;"CA_Amyot_Guillaume_1843__01";"CA_Amyot_Guillaume_1843";"19mar1881";"21feb1887";"CA_NT-HC_1879;CA_NT-HC_1883"
"starts_before_period,ends_after_period";"CA_NT-HC_1887";-50;29;"CA_Amyot_Guillaume_1843__02";"CA_Amyot_Guillaume_1843";"22feb1887";"04mar1891";"CA_NT-HC_1887"
"starts_before_period";"CA_NT-HC_1891";-55;-25;"CA_Amyot_Guillaume_1843__03";"CA_Amyot_Guillaume_1843";"05mar1891";"30mar1896";"CA_NT-HC_1891"
"starts_before_period,ends_after_period";"CA_NT-HC_2019;CA_NT-HC_2021";-45;35;"CA_Anand_Anita_9999__01";"CA_Anand_Anita_9999";"21oct2019";"27apr2025";"CA_NT-HC_2019;CA_NT-HC_2021"
"starts_before_period";"CA_NT-HC_2025";-28;-268;"CA_Anand_Anita_9999__02";"CA_Anand_Anita_9999";"28apr2025";"07apr2026";"CA_NT-HC_2025"
"starts_before_period,ends_after_period";"CA_NT-HC_2015;CA_NT-HC_2019;CA_NT-HC_2021";-45;35;"CA_Anandasangaree_Gary_1973__01";"CA_Anandasangaree_Gary_1973";"19oct2015";"27apr2025";"CA_NT-HC_2015;CA_NT-HC_2019;CA_NT-HC_2021"
"starts_before_period";"CA_NT-HC_2025";-28;-268;"CA_Anandasangaree_Gary_1973__02";"CA_Anandasangaree_Gary_1973";"28apr2025";"07apr2026";"CA_NT-HC_2025"
