sep=;
"pers_id";"id_nl_pdc_num";"id_nl_pdc_code";"id_nl_pdc_bio_id";"id_nl_pdc_slug";"last_name";"first_name";"death_date"
"NL_deVries_Aukje_1964";3397;"vj46k1q7jr6h";22274;"aukje-de-vries";"deVries";"Aukje";
"NL_deVries_Bert_1938";2620;;19218;"dr-b-bert-de-vries";"deVries";"Bert";
"NL_deVries_Bibi_1963";2550;;19172;"mr-bm-bibi-de-vries";"deVries";"Bibi";
"NL_deVries_Gijs_1956";2907;;19505;"drs-gm-gijs-de-vries";"deVries";"Gijs";
"NL_deVries_Jan_1965";2373;;20967;"mrdrs-jm-jan-de-vries";"deVries";"Jan";
"NL_deVries_Klaas_1943";1724;;18614;"mr-kg-klaas-de-vries";"deVries";"Klaas";
"NL_deVries_Monique_1947";2551;;19173;"drs-jm-monique-de-vries";"deVries";"Monique";
"NL_deWaart_Jules_1942";2684;;19282;"dr-jp-jules-de-waart";"deWaart";"Jules";
"NL_deWit_Jan_1945";2940;"vg09llq698zs";19538;"mr-jmam-jan-de-wit";"deWit";"Jan";
"NL_Dezentje_Ineke_1954";2416;;21031;"mr-i-ineke-dezentje-hamming-bluemink";"Dezentje-Hamming-Bluemink";"Ineke";
"NL_Dibi_Tofik_1980";3092;;21389;"t-tofik-dibi";"Dibi";"Tofik";
"NL_Diertens_Antje_1958";3523;"vk9hlik4heuk";22775;"ae-antje-diertens";"Diertens";"Antje";
"NL_Dijkgraaf_Elbert_1970";2306;"vg9fgopqmozi";20842;"profdr-e-elbert-dijkgraaf";"Dijkgraaf";"Elbert";
"NL_Dijkhoff_Klaas_1981";3250;"viem19iceaz8";21900;"dr-khdm-klaas-dijkhoff";"Dijkhoff";"Klaas";
"NL_Dijkman_Stef_1935";1888;;18778;"mr-sjm-stef-dijkman";"Dijkman";"Stef";
"NL_Dijksma_Sharon_1971";2510;"vg09lll5uqzx";19132;"sam-sharon-dijksma";"Dijksma";"Sharon";
"NL_Dijksman_Gerda_1957";2511;;19133;"ga-gerda-dijksman";"Dijksman";"Gerda";
"NL_Dijkstra_Minne_1937";366;;17257;"drs-m-minne-dijkstra";"Dijkstra";"Minne";
"NL_Dijkstra_Pia_1954";3188;"vie4gyv949vd";21876;"pa-pia-dijkstra";"Dijkstra";"Pia";
"NL_Dijkstra_Remco_1972";3334;"vj0hibsxkwl8";22183;"rj-remco-dijkstra";"Dijkstra";"Remco";
"NL_Dijsselbloem_Jeroen_1966";2200;"vg09lljnf6yy";19025;"ir-jrva-jeroen-dijsselbloem";"Dijsselbloem";"Jeroen";
"NL_Dik_Carla_1971";3331;"vj0dhxie72ii";22179;"drs-rk-carla-dik-faber";"Dik-Faber";"Carla";
"NL_Dikkers_Sjoera_1969";3241;"viek19ok7szx";21894;"sjw-sjoera-dikkers";"Dikkers";"Sjoera";
"NL_Diks_Isabelle_1965";3123;"vhfq2rp29xx4";21433;"li-isabelle-diks";"Diks";"Isabelle";
"NL_Dille_Willie_1965";3219;;21908;"wr-willie-dille";"Dille";"Willie";
"NL_Dittrich_Boris_1955";2512;;19134;"mr-bo-boris-dittrich";"Dittrich";"Boris";
"NL_Doelman_Ali_1932";2794;;19392;"ali-doelman-pel";"Doelman-Pel";"Ali";
"NL_Dolman_Dick_1935";1660;;18550;"dr-d-dick-dolman";"Dolman";"Dick";
"NL_Donner_Piet_1948";2380;;20829;"mr-jph-piet-hein-donner";"Donner";"Piet-Hein";
"NL_Douma_Kris_1961";2460;;20992;"drs-k-kris-douma";"Douma";"Kris";
"NL_Driessen_Johan_1981";3215;;21903;"mr-jha-johan-driessen";"Driessen";"Johan";
