sep=;
"boundary_side";"res_entry_id";"pers_id";"res_entry_start";"res_entry_end";"political_function";"parliament_id"
"last_end_before_date";"NL_Tielen_Judith_1972__3";"NL_Tielen_Judith_1972";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Timmermans_Frans_1961__41";"NL_Timmermans_Frans_1961";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Tseggai_Mikal_1995__1";"NL_Tseggai_Mikal_1995";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Uppelschoten_Nico_1944__1";"NL_Uppelschoten_Nico_1944";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Valize_Jan_1982__1";"NL_Valize_Jan_1982";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanBaarle_Stephan_1991__2";"NL_vanBaarle_Stephan_1991";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanCampen_Thom_1990__2";"NL_vanCampen_Thom_1990";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vandenBorn_Vincent_1967__1";"NL_vandenBorn_Vincent_1967";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vandenHil_Jacqueline_1968__3";"NL_vandenHil_Jacqueline_1968";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_vanderBurg_Eric_1965__1";"NL_vanderBurg_Eric_1965";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanderHoeff_Patrick_1975__1";"NL_vanderHoeff_Patrick_1975";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanderLee_Tom_1964__3";"NL_vanderLee_Tom_1964";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanderPlas_Caroline_1967__2";"NL_vanderPlas_Caroline_1967";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanderVelde_Martine_1989__1";"NL_vanderVelde_Martine_1989";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanderWal_Christianne_1973__1";"NL_vanderWal_Christianne_1973";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanderWerf_Johanna_1984__3";"NL_vanderWerf_Johanna_1984";"29mar2024";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_vanDijck_Teun_1963__11";"NL_vanDijck_Teun_1963";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_vanDijk_Diederik_1971__1";"NL_vanDijk_Diederik_1971";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanDijk_Emiel_1985__1";"NL_vanDijk_Emiel_1985";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanDijk_Inge_1975__1";"NL_vanDijk_Inge_1975";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanDijk_Olger_1979__1";"NL_vanDijk_Olger_1979";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanEijk_Wendy_1973__1";"NL_vanEijk_Wendy_1973";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanHaasen_Peter_1960__1";"NL_vanHaasen_Peter_1960";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanHouwelingen_Pepijn_1980__2";"NL_vanHouwelingen_Pepijn_1980";"18jan2024";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_vanKent_Bart_1983__3";"NL_vanKent_Bart_1983";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanMeetelen_Rachel_1975__1";"NL_vanMeetelen_Rachel_1975";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanMeijeren_Gideon_1988__2";"NL_vanMeijeren_Gideon_1988";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanNispen_Michiel_1982__4";"NL_vanNispen_Michiel_1982";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanOostenbruggen_Tjebbe_1979__1";"NL_vanOostenbruggen_Tjebbe_1979";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanVroonhoven_Nicolien_1971__17";"NL_vanVroonhoven_Nicolien_1971";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_vanZanten_Claudia_1978__1";"NL_vanZanten_Claudia_1978";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Vedder_Eline_1979__2";"NL_Vedder_Eline_1979";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Veltman_Hester_1973__1";"NL_Veltman_Hester_1973";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Vermeer_Henk_1966__1";"NL_Vermeer_Henk_1966";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Vijlbrief_Hans_1963__2";"NL_Vijlbrief_Hans_1963";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Vlottes_Elmar_1989__1";"NL_Vlottes_Elmar_1989";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Vondeling_Marina_1986__1";"NL_Vondeling_Marina_1986";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Welzijn_Merlien_1973__1";"NL_Welzijn_Merlien_1973";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Westerveld_Lisa_1981__3";"NL_Westerveld_Lisa_1981";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_White_Raoul_1972__1";"NL_White_Raoul_1972";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Wijen_Marieke_1993__1";"NL_Wijen_Marieke_1993";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Wilders_Geert_1963__26";"NL_Wilders_Geert_1963";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Wingelaar_Natascha_1974__1";"NL_Wingelaar_Natascha_1974";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Yesilgoez_Dilan_1977__2";"NL_Yesilgoez_Dilan_1977";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Zeedijk_Femke_1974__1";"NL_Zeedijk_Femke_1974";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
