"pers_id";"id_nl_pdc_num";"id_nl_pdc_code";"id_nl_pdc_bio_id";"id_nl_pdc_slug";"last_name";"first_name";"wikidata_id"
"NL_Belinfante_Judith_1943";2210;;19035;"drs-jce-judith-belinfante";"Belinfante";"Judith";""
"NL_Benschop_Dick_1957";2903;;19501;"drs-da-dick-benschop";"Benschop";"Dick";""
"NL_Berg_Ed_1932";91;;16982;"drs-el-ed-berg";"Berg";"Ed";""
"NL_Berger_Jan_1918";94;;16985;"jja-jan-berger";"Berger";"Jan";""
"NL_Bergsma_Willem_1829";102;;16993;"mr-wa-bergsma";"Bergsma";"Willem-Adriaan";""
"NL_Berkhouwer_Cees_1919";103;;16994;"dr-c-cees-berkhouwer";"Berkhouwer";"Cees";""
"NL_Besselink_Marianne_1972";3074;;21362;"m-marianne-besselink";"Besselink";"Marianne";""
"NL_Betz_Gerardus_1816";105;;16996;"gh-betz";"Betz";"Gerardus-Henri";""
"NL_Beuker_Klaas_1924";1648;;18538;"k-klaas-beuker";"Beuker";"Klaas";""
"NL_Beumer_Bouke_1934";1798;;18688;"drs-b-bouke-beumer";"Beumer";"Bouke";""
"NL_Beumer_Egbertus_1878";106;;16997;"dr-ej-beumer";"Beumer";"Egbertus-Johannes";""
"NL_Bevers_Jean_1852";108;;16999;"mr-jgs-bevers";"Bevers";"Jean-Gustave-Stanislas";""
"NL_Bichon_Cornelis_1855";111;;17002;"mr-cja-bichon-van-ijsselmonde";"Bichon-vanIJsselmonde";"Cornelis-Johan-Adriaan";""
"NL_Bichon_Marinus_1815";112;;17003;"mr-m-bichon-van-ijsselmonde";"Bichon-vanIJsselmonde";"Marinus";""
"NL_Bierema_Steven_1884";115;;17006;"dr-seb-bierema";"Bierema";"Steven-Edzo-Broeils";""
"NL_Bieruma_Jan_1816";116;;17007;"mr-j-bieruma-oosting";"Bieruma-Oosting";"Jan";""
"NL_Biesheuvel_Barend_1920";119;;17010;"mr-bw-barend-biesheuvel";"Biesheuvel";"Barend";""
"NL_Biesheuvel_Pieter_1949";2822;;19420;"mr-pj-pieter-jan-biesheuvel";"Biesheuvel";"Pieter-Jan";""
"NL_Biewenga_Arend_1903";120;;17011;"aw-arend-biewenga-wzn";"Biewenga";"Arend";""
"NL_Bijleveld_Ank_1962";2974;;19572;"drs-athb-ank-bijleveld-schouten";"Bijleveld-Schouten";"Ank";""
"NL_Bijleveld_Hendrik_1848";246;;17137;"h-bijleveld";"Bijleveld";"Hendrik";""
"NL_Bijleveld_Hendrik_1885";247;;17138;"mr-h-bijleveld";"Bijleveld";"Hendrik";""
"NL_Bijleveld_Maarten_1874";248;;17139;"miwj-bijleveld";"Bijleveld";"Maarten-Iman-Willem-Jacob";""
"NL_Bijlhout_Philomena_1957";2361;;20956;"rrph-philomena-bijlhout";"Bijlhout";"Philomena";""
"NL_Bijlsma_Klaas_1890";249;;17140;"mr-k-klaas-bijlsma";"Bijlsma";"Klaas";""
"NL_Bilder_Eddy_1964";3044;;21341;"ing-ej-eddy-bilder";"Bilder";"Eddy";""
"NL_Bischoff_Suzanne_1950";2622;;19220;"dr-sc-suzanne-bischoff-van-heemskerck";"Bischoff-vanHeemskerck";"Suzanne";""
"NL_Biskop_Jack_1956";3045;;21342;"drs-jjgm-jack-biskop";"Biskop";"Jack";""
"NL_Blaauw_Jan_1941";2602;;19200;"jd-jan-dirk-blaauw";"Blaauw";"Jan-Dirk";""
"NL_Blaisse_Pieter_1911";125;;17016;"mr-pa-pieter-blaisse";"Blaisse";"Pieter";""
"NL_Blankenheym_Dominicus_1797";126;;17017;"d-blankenheym";"Blankenheym";"Dominicus";""
"NL_Blanksma_Elly_1959";3049;;21343;"pjmg-elly-blanksma-van-den-heuvel";"Blanksma-vandenHeuvel";"Elly";""
"NL_Blaupot_Steven_1807";127;;17018;"s-blaupot-ten-cate";"Blaupot-tenCate";"Steven";""
"NL_Blauw_Piet_1939";2661;;19259;"pm-piet-blauw";"Blauw";"Piet";""
"NL_Bloemarts_Louis_1801";2908;;19506;"algh-louis-bloemarts";"Bloemarts";"Louis";""
"NL_Bloemen_Liesbeth_1954";2613;;19211;"mr-egem-liesbeth-bloemen";"Bloemen";"Liesbeth";""
"NL_Blom_Francois_1809";130;;17021;"fwc-blom";"Blom";"Francois-Willem-Cornelis";""
"NL_Blom_Jaap_1898";131;;17022;"j-jaap-blom";"Blom";"Jaap";""
"NL_Blom_Luuk_1957";2408;;21026;"l-luuk-blom";"Blom";"Luuk";""
"NL_Blooker_Cornelis_1852";134;;17025;"dr-cfj-blooker";"Blooker";"Cornelis-Frans-Jacobus";""
"NL_Blum_Johan_1852";135;;17026;"jh-blum";"Blum";"Johan-Heinrich";""
"NL_Blusse_Pierre_1818";137;;17028;"mr-plf-blusse";"Blusse";"Pierre-Louis-Francois";""
"NL_Blusse_Pieter_1812";138;;17029;"mr-p-blusse-van-oud-alblas";"Blusse-vanOud-Alblas";"Pieter";""
"NL_Bode_Pieter_1926";141;;17032;"p-pieter-bode";"Bode";"Pieter";""
"NL_Boekestijn_Arend_1959";3062;;21345;"drs-aj-arend-jan-boekestijn";"Boekestijn";"Arend-Jan";""
"NL_Boekhoven_Gerard_1909";142;;17033;"g-gerard-boekhoven-jr";"Boekhoven-jun";"Gerard";""
"NL_Boelhouwer_Jan_1950";2402;;21018;"dr-ajw-jan-boelhouwer";"Boelhouwer";"Jan";""
